Time,Mass Change (Gt)
2002.29589,1035.4581
2002.357534,1066.5613
2002.626027,765.73834
2002.709589,735.56378
2002.793151,799.39081
2002.876712,869.64502
2002.960274,906.06378
2003.045205,918.45593
2003.126027,887.17889
2003.206849,968.12329
2003.290411,1024.1466
2003.360274,1048.1699
2003.541096,826.42627
2003.626027,683.164
2003.709589,640.75317
2003.793151,677.51648
2003.876712,665.50812
2003.960274,701.2066
2004.020548,672.12634
2004.131507,673.7088
2004.209589,712.62152
2004.293151,757.14734
2004.376712,715.61505
2004.460274,746.88794
2004.543836,608.83044
2004.628767,489.091
2004.712329,458.05151
2004.79589,431.84613
2004.879452,467.41531
2004.963014,460.90381
2005.045205,476.77136
2005.126027,508.25388
2005.206849,551.98871
2005.290411,547.41107
2005.373973,570.07404
2005.457534,561.55444
2005.541096,461.35162
2005.626027,231.67192
2005.709589,137.99727
2005.793151,151.17131
2005.876712,159.7594
2005.960274,235.06169
2006.045205,238.56271
2006.126027,278.55399
2006.206849,281.62863
2006.290411,249.83719
2006.373973,290.98242
2006.457534,285.53308
2006.541096,218.64093
2006.626027,39.732262
2006.709589,-24.649378
2006.793151,34.676285
2006.876712,18.507
2006.960274,-27.259729
2007.045205,-5.1858931
2007.124658,65.207878
2007.206849,23.93453
2007.290411,59.154865
2007.373973,82.74044
2007.457534,71.001907
2007.541096,-98.282303
2007.626027,-303.57104
2007.709589,-355.84662
2007.793151,-352.78192
2007.876712,-347.24692
2007.960274,-299.74777
2008.045205,-274.21994
2008.127397,-232.90665
2008.209589,-194.66251
2008.293151,-212.20609
2008.376712,-242.6853
2008.460274,-263.6098
2008.543836,-412.43549
2008.628767,-598.81335
2008.712329,-644.80377
2008.79589,-642.3728
2008.879452,-575.76996
2008.963014,-505.66266
2009.045205,-443.06128
2009.126027,-471.06281
2009.206849,-498.94849
2009.290411,-512.53375
2009.373973,-492.06506
2009.457534,-449.00177
2009.541096,-533.81055
2009.626027,-809.21399
2009.709589,-854.52405
2009.793151,-794.96979
2009.876712,-808.75555
2009.960274,-743.33954
2010.045205,-733.276
2010.126027,-748.85968
2010.206849,-712.94202
2010.290411,-733.37463
2010.373973,-710.9613
2010.457534,-783.46252
2010.541096,-1016.1
2010.626027,-1208.8297
2010.709589,-1313.1226
2010.793151,-1261.3052
2010.876712,-1250.1289
2010.954795,-1255.4388
2011.135616,-1209.5502
2011.206849,-1211.5096
2011.290411,-1219.8137
2011.373973,-1208.1559
2011.546575,-1418.8086
2011.626027,-1608.2356
2011.709589,-1662.0338
2011.793151,-1694.9408
2011.834247,-1700.1318
2011.991781,-1668.7211
2012.045205,-1675.998
2012.127397,-1624.4774
2012.209589,-1579.8843
2012.260274,-1549.2188
2012.460274,-1573.2924
2012.543836,-1812.415
2012.628767,-2116.6494
2012.705479,-2267.0745
2012.886301,-2197.552
2012.963014,-2134.1445
2013.045205,-2117.5381
2013.123288,-2105.8191
2013.30411,-2135.6082
2013.373973,-2111.8059
2013.457534,-2064.5864
2013.541096,-2184.2273
2013.793151,-2260.5364
2013.876712,-2261.1016
2013.960274,-2223.5564
2014.024658,-2204.9595
2014.209589,-2200.4204
2014.290411,-2165.3264
2014.373973,-2135.9854
2014.449315,-2150.905
2014.626027,-2527.4385
2014.709589,-2539.6169
2014.793151,-2498.7466
2014.876712,-2486.6104
2015.061644,-2435.6899
2015.126027,-2408.1069
2015.206849,-2390.0439
2015.290411,-2377.5313
2015.320548,-2393.1741
2015.538356,-2576.3982
2015.626027,-2714.4988
2015.705479,-2764.5764
2015.978082,-2675.105
2016.045205,-2590.7158
2016.123288,-2655.7393
2016.209589,-2628.363
2016.386301,-2575.6802
2016.460274,-2593.7715
2016.541096,-2786.0024
2016.642466,-3051.2537
2016.910959,-2824.2319
2016.984932,-2856.752
2017.057534,-2791.4646
2017.247945,-2836.2935
2017.313699,-2782.9268
2017.364384,-2849.6003
2017.442466,-2861.0576
2018.457534,-2931.9495
2018.523288,-2969.1748
2018.834247,-3114.4683
2018.876712,-3063.208
2018.960274,-3055.0232
2019.045205,-3076.6501
2019.126027,-3081.6892
2019.206849,-3132.5278
2019.290411,-3125.8442
2019.373973,-3103.7935
2019.457534,-3111.2539
2019.541096,-3335.3064
2019.626027,-3595.9556
2019.709589,-3729.4927
2019.793151,-3666.0906
2019.876712,-3643.3748
2019.960274,-3586.751
2020.045205,-3634.8645
2020.127397,-3570.8335
2020.209589,-3662.8479
2020.293151,-3663.6592
2020.376712,-3592.6335
2020.460274,-3623.8481
2020.543836,-3831.0806
2020.628767,-3956.6655
2020.712329,-3933.5349
2020.79589,-3836.105
2020.879452,-3786.6323
2020.963014,-3774.1816
2021.045205,-3712.6338
2021.126027,-3746.5935
2021.206849,-3791.3367
2021.290411,-3762.7861
2021.373973,-3828.0264
2021.457534,-3813.0405
2021.541096,-3863.2642
2021.626027,-4024.8232
2021.709589,-4032.6055
2021.793151,-4069.2444
2021.876712,-4021.1577
2021.960274,-3999.9775
2022.045205,-3984.9207
2022.126027,-3949.4282
