Time,Mass Change (Gt)
2002.287671,1003.12005
2002.369863,1002.471394
2002.454795,923.7857283
2002.536986,731.0086532
2002.621918,622.8471838
2002.706849,628.3722433
2002.789041,693.9136255
2003.126027,860.1459894
2003.20274,885.3751861
2003.287671,948.3178064
2003.369863,973.253625
2003.454795,894.4221581
2003.536986,670.3803128
2003.621918,523.7964711
2003.706849,479.9448616
2003.789041,540.2698245
2004.205479,724.9173752
2004.290411,764.3082796
2004.372603,777.6564964
2004.457534,703.8042412
2004.539726,517.3804931
2004.624658,379.5158896
2004.709589,369.4313019
2004.791781,418.1208969
2005.20274,622.3000248
2005.287671,655.3136934
2005.369863,686.324501
2005.454795,587.9495403
2005.536986,415.0774943
2005.621918,187.7333678
2005.706849,175.1115804
2005.789041,198.6049878
2005.950685,265.0178584
2006.20274,341.2388
2006.287671,342.9270029
2006.369863,372.9792788
2006.454795,332.5725004
2006.536986,226.652476
2006.621918,7.721550736
2006.706849,-19.08943015
2006.789041,-6.32822689
2006.873973,1.82395405
2006.964384,11.83501568
2007.20274,97.38629258
2007.287671,133.0599481
2007.369863,143.2345428
2007.454795,88.95670935
2007.536986,-137.7114007
2007.621918,-349.5343027
2007.684932,-367.6025539
2007.706849,-360.9080138
2007.789041,-318.8314314
2008.205479,-143.8141991
2008.290411,-128.8077818
2008.372603,-135.3090907
2008.457534,-207.0278373
2008.539726,-428.7799664
2008.624658,-613.6961208
2008.709589,-595.5739402
2008.791781,-537.2667592
2008.876712,-475.6517161
2009.041096,-385.0853058
2009.126027,-359.9344748
2009.20274,-366.869824
2009.287671,-355.8843858
2009.369863,-309.7643857
2009.454795,-381.9829226
2009.536986,-538.4299492
2009.621918,-753.129691
2009.671233,-782.5645495
2009.706849,-764.8294713
2009.789041,-724.5483626
2010.20274,-566.8099813
2010.287671,-582.7247146
2010.369863,-584.0889576
2010.454795,-680.5484754
2010.536986,-911.5455377
2010.621918,-1117.179658
2010.706849,-1167.033264
2010.789041,-1140.118405
2011.20274,-992.7476403
2011.287671,-978.1961556
2011.369863,-961.3162568
2011.454795,-1015.93673
2011.536986,-1272.94689
2011.621918,-1497.923993
2011.706849,-1515.521659
2011.789041,-1482.886156
2012.041096,-1394.512868
2012.205479,-1317.50829
2012.290411,-1284.829217
2012.372603,-1281.308339
2012.457534,-1408.744102
2012.539726,-1725.319215
2012.624658,-2019.24838
2012.709589,-2050.415211
2012.791781,-1997.958346
2012.863014,-1960.315511
2013.126027,-1850.058549
2013.20274,-1834.654213
2013.287671,-1837.427307
2013.369863,-1804.905315
2013.454795,-1857.191176
2013.536986,-1996.826064
2013.621918,-2163.17405
2013.706849,-2110.242998
2013.789041,-2046.126175
2013.873973,-2041.094102
2013.956164,-1993.442555
2014.041096,-1972.753343
2014.126027,-1935.038561
2014.20274,-1922.040076
2014.287671,-1899.544591
2014.369863,-1883.98136
2014.454795,-1945.574782
2014.536986,-2145.726058
2014.621918,-2338.596938
2014.668493,-2361.061199
2014.706849,-2341.964962
2014.789041,-2294.004675
2014.873973,-2281.19885
2014.956164,-2199.52532
2014.958904,-2198.456776
2015.041096,-2164.162525
2015.043836,-2164.83628
2015.123288,-2119.479451
2015.126027,-2118.014653
2015.20274,-2114.805311
2015.205479,-2115.363716
2015.287671,-2101.612145
2015.369863,-2086.025585
2015.372603,-2086.719996
2015.454795,-2109.740676
2015.536986,-2418.109044
2015.539726,-2432.670023
2015.621918,-2589.868583
2015.624658,-2590.753556
2015.668493,-2603.740222
2015.706849,-2591.030675
2015.789041,-2516.558653
2015.791781,-2513.87566
2015.873973,-2477.673547
2015.956164,-2445.054505
2015.958904,-2444.893348
2016.041096,-2428.145723
2016.043836,-2429.492808
2016.126027,-2406.097068
2016.205479,-2377.250286
2016.208219,-2377.290311
2016.290411,-2346.140078
2016.372603,-2343.263158
2016.375342,-2346.197245
2016.457534,-2412.207009
2016.539726,-2650.691421
2016.542466,-2661.43861
2016.624658,-2889.254308
2016.627397,-2892.175055
2016.671233,-2923.102056
2016.709589,-2919.447981
2016.736986,-2917.426603
2016.767123,-2888.688256
2016.791781,-2857.793547
2016.794521,-2855.761721
2016.8,-2848.327412
2016.832877,-2811.858195
2016.865753,-2766.297048
2016.876712,-2757.913408
2016.89863,-2746.523594
2016.931507,-2734.401012
2016.958904,-2716.187117
2016.961644,-2714.255178
2016.964384,-2711.047984
2016.99726,-2704.410605
2017.010959,-2685.9093
2017.041096,-2672.932322
2017.043836,-2671.596583
2017.060274,-2669.593514
2017.079452,-2664.67188
2017.109589,-2642.662235
2017.123288,-2626.842576
2017.126027,-2626.639825
2017.158904,-2613.804967
2017.191781,-2613.880434
2017.20274,-2612.503754
2017.205479,-2613.2346
2017.224658,-2604.40869
2017.287671,-2603.525325
2017.369863,-2575.409303
2017.372603,-2577.578342
2017.389041,-2583.599722
2017.421918,-2609.04182
2017.454795,-2663.552113
2017.487671,-2729.591429
2017.520548,-2767.376943
2017.536986,-2802.871441
2017.539726,-2806.566707
2017.621918,-2988.851295
2017.624658,-2990.712235
2017.668493,-2983.147391
2017.706849,-2960.520896
2017.789041,-2909.168537
2017.791781,-2908.432366
2017.873973,-2834.83861
2017.882192,-2833.84705
2017.915068,-2827.104244
2017.947945,-2813.976078
2017.956164,-2814.321384
2017.958904,-2811.515805
2017.980822,-2812.379629
2018.013699,-2814.947167
2018.041096,-2794.017877
2018.043836,-2790.238003
2018.046575,-2788.341257
2018.079452,-2787.589426
2018.112329,-2767.982577
2018.123288,-2763.060518
2018.126027,-2759.853591
2018.145205,-2728.664077
2018.178082,-2710.003506
2018.20274,-2711.055128
2018.205479,-2712.238252
2018.210959,-2710.566545
2018.243836,-2700.226977
