Time,Mass Change (Gt)
2002.287671,236.5410862
2002.369863,232.3707742
2002.454795,216.4658599
2002.536986,195.1581234
2002.621918,188.4856918
2002.706849,189.841769
2002.789041,189.308022
2003.126027,180.5534825
2003.20274,175.9775833
2003.287671,174.0386923
2003.369863,176.7842815
2003.454795,167.2565596
2003.536986,141.2253717
2003.621918,130.7942322
2003.706849,125.327469
2003.789041,140.3004864
2004.205479,152.4411715
2004.290411,152.712346
2004.372603,148.3814745
2004.457534,139.2789841
2004.539726,118.3587929
2004.624658,101.6687577
2004.709589,95.23029527
2004.791781,101.7198367
2005.20274,123.1126736
2005.287671,125.057202
2005.369863,127.385621
2005.454795,109.933101
2005.536986,95.88808812
2005.621918,65.38200571
2005.706849,62.78847845
2005.789041,69.93076265
2005.950685,72.24427108
2006.20274,65.63000805
2006.287671,65.77484013
2006.369863,67.59942941
2006.454795,59.91308145
2006.536986,52.03743343
2006.621918,25.55219533
2006.706849,19.50171022
2006.789041,18.80344368
2006.873973,15.54535264
2006.964384,12.1066378
2007.20274,7.386460879
2007.287671,10.12706525
2007.369863,7.989267432
2007.454795,-1.654781965
2007.536986,-28.72820693
2007.621918,-53.60966231
2007.684932,-57.20593283
2007.706849,-56.48589757
2007.789041,-53.81994239
2008.205479,-59.35384472
2008.290411,-57.08446937
2008.372603,-56.30953434
2008.457534,-68.53887559
2008.539726,-88.22299024
2008.624658,-105.102245
2008.709589,-104.2749526
2008.791781,-101.6969361
2008.876712,-88.14026354
2009.041096,-81.89614419
2009.126027,-88.864173
2009.20274,-93.44311469
2009.287671,-96.88932936
2009.369863,-97.75536744
2009.454795,-109.465197
2009.536986,-125.5626026
2009.621918,-150.8067629
2009.671233,-157.0895873
2009.706849,-154.1121988
2009.789041,-153.3677752
2010.20274,-148.2297348
2010.287671,-153.0512576
2010.369863,-151.2624548
2010.454795,-172.1800952
2010.536986,-194.3616279
2010.621918,-220.6380621
2010.706849,-227.5008293
2010.789041,-230.9002166
2011.20274,-222.8119558
