Time,Mass Change (Gt)
2002.287671,154.8325973
2002.369863,155.2428981
2002.454795,139.1989879
2002.536986,83.20704285
2002.621918,65.5783229
2002.706849,64.67020159
2002.789041,81.22061444
2003.126027,109.4320848
2003.20274,113.8367267
2003.287671,120.5330981
2003.369863,119.7007156
2003.454795,106.1383237
2003.536986,56.89796596
2003.621918,20.67004243
2003.706849,17.50993062
2003.789041,24.50448937
2004.205479,45.97394155
2004.290411,61.09917501
2004.372603,69.8513242
2004.457534,56.70318202
2004.539726,13.03244245
2004.624658,-7.960788875
2004.709589,-5.004933832
2004.791781,8.674801702
2005.20274,43.79819599
2005.287671,46.19681905
2005.369863,55.44832708
2005.454795,40.9852359
2005.536986,-0.950484956
2005.621918,-33.63443588
2005.706849,-33.87690347
2005.789041,-29.08208613
2005.950685,-14.87676609
2006.20274,24.88670798
2006.287671,28.62871364
2006.369863,59.08962947
2006.454795,53.95542824
2006.536986,29.74059779
2006.621918,-14.96490781
2006.706849,-10.08351204
2006.789041,-3.680869327
2006.873973,-2.28935133
2006.964384,6.222024212
2007.20274,26.92427196
2007.287671,34.83571836
2007.369863,36.85392653
2007.454795,24.28510873
2007.536986,-16.10732761
2007.621918,-40.66369245
2007.684932,-42.13025191
2007.706849,-41.36018413
2007.789041,-35.80496612
2008.205479,29.28413336
2008.290411,29.55869321
2008.372603,29.98343664
2008.457534,11.4054388
2008.539726,-36.98965137
2008.624658,-71.85573473
2008.709589,-56.27873055
2008.791781,-33.30556468
2008.876712,-30.20518525
2009.041096,-12.86125392
2009.126027,-6.630807846
2009.20274,-4.595128795
2009.287671,-2.441565699
2009.369863,7.300370794
2009.454795,-6.091962245
2009.536986,-40.03310986
2009.621918,-67.97241506
2009.671233,-63.50838283
2009.706849,-62.73159779
2009.789041,-46.74509209
2010.20274,-30.17508319
2010.287671,-27.38804195
2010.369863,-24.60091432
2010.454795,-27.22283121
2010.536986,-71.3517677
2010.621918,-109.0131301
2010.706849,-99.20941682
2010.789041,-94.28287404
2011.20274,-65.47734631
2011.287671,-60.0353465
2011.369863,-49.06539279
2011.454795,-50.73067564
2011.536986,-96.52426896
2011.621918,-134.1360401
2011.706849,-132.2301161
2011.789041,-116.865429
2012.041096,-81.34975373
2012.205479,-52.60443059
2012.290411,-51.47200136
2012.372603,-52.73288802
2012.457534,-75.83573153
2012.539726,-129.6041419
2012.624658,-178.6489374
2012.709589,-178.816254
2012.791781,-170.1318973
2012.863014,-169.8816707
2013.126027,-156.7148629
2013.20274,-155.2462715
2013.287671,-154.2540553
2013.369863,-151.6070943
2013.454795,-162.3832814
2013.536986,-194.5725126
2013.621918,-223.0503413
2013.706849,-195.9383023
2013.789041,-162.5783832
2013.873973,-161.9918525
2013.956164,-157.1721085
2014.041096,-140.8489612
2014.126027,-126.1932241
2014.20274,-124.4985455
2014.287671,-115.3969488
2014.369863,-112.4295687
2014.454795,-124.1442164
2014.536986,-170.5982828
2014.621918,-201.4735512
2014.668493,-194.2666341
2014.706849,-191.0267923
2014.789041,-164.420309
2014.873973,-151.9714087
2014.956164,-127.8133982
2014.958904,-127.7323441
2015.041096,-104.1909351
2015.043836,-104.2874959
2015.123288,-90.5754813
2015.126027,-88.55380732
2015.20274,-86.13611296
2015.205479,-86.11371425
2015.287671,-80.27995512
2015.369863,-77.84366099
2015.372603,-77.49645982
2015.454795,-84.8008671
2015.536986,-158.6346239
2015.539726,-162.1306988
2015.621918,-185.8008948
2015.624658,-183.9860711
2015.668493,-181.3594802
2015.706849,-179.6784815
2015.789041,-156.829393
2015.791781,-156.8821052
2015.873973,-143.8742856
2015.956164,-139.9614889
2015.958904,-139.7561448
