Time,Mass Change (Gt)
2002.287671,221.7136825
2002.369863,222.1595343
2002.454795,212.6105766
2002.536986,195.0257773
2002.621918,184.9930457
2002.706849,181.5955322
2002.789041,180.6187386
2003.126027,171.564377
2003.20274,166.8897459
2003.287671,163.300543
2003.369863,168.6727168
2003.454795,162.2540028
2003.536986,125.9338037
2003.621918,136.2149619
2003.706849,141.9325186
2003.789041,149.1278791
2004.205479,142.7594773
2004.290411,137.6856674
2004.372603,132.104375
2004.457534,128.7029673
2004.539726,118.0563729
2004.624658,112.3167546
2004.709589,107.0077048
2004.791781,119.1543045
2005.20274,149.6972475
2005.287671,150.205666
2005.369863,147.5914003
2005.454795,140.0378564
2005.536986,121.8322308
2005.621918,85.96602819
2005.706849,84.88001902
2005.789041,88.06565655
2005.950685,92.21462911
2006.20274,76.17289108
2006.287671,70.80015477
2006.369863,70.21875881
2006.454795,69.84553487
2006.536986,57.20807857
2006.621918,35.51260614
2006.706849,30.94229652
2006.789041,28.43452082
2006.873973,27.25430179
2006.964384,24.15607339
2007.20274,19.45831629
2007.287671,20.97835733
2007.369863,18.72719634
2007.454795,19.97685846
2007.536986,-1.979278895
2007.621918,-34.30004453
2007.684932,-40.27929868
2007.706849,-37.425863
2007.789041,-33.36957704
2008.205479,-50.67004937
2008.290411,-50.60134793
2008.372603,-51.50682118
2008.457534,-57.09831347
2008.539726,-89.13571792
2008.624658,-108.8083621
2008.709589,-114.6797528
2008.791781,-115.2464061
2008.876712,-106.1185643
2009.041096,-111.6343427
2009.126027,-118.6252358
2009.20274,-124.2048261
2009.287671,-128.4131413
2009.369863,-133.6228099
2009.454795,-139.5196395
2009.536986,-160.9010884
2009.621918,-200.7536247
2009.671233,-209.1539093
2009.706849,-203.6288685
2009.789041,-206.2874195
2010.20274,-200.8040829
2010.287671,-207.3678819
2010.369863,-202.6051401
2010.454795,-214.0023892
2010.536986,-244.314877
2010.621918,-257.2709303
2010.706849,-260.7364492
2010.789041,-262.490681
