Time,Mass Change (Gt)
2002.29589,325.47052
2002.357534,330.56686
2002.626027,232.81151
2002.709589,221.32664
2002.793151,259.71423
2002.876712,273.24887
2002.960274,299.66266
2003.045205,320.16226
2003.126027,329.95923
2003.206849,357.88284
2003.290411,434.73999
2003.360274,442.32837
2003.541096,371.72244
2003.626027,347.16779
2003.709589,319.87189
2003.793151,304.44171
2003.876712,307.28943
2003.960274,298.04425
2004.020548,278.60724
2004.131507,306.5105
2004.209589,331.79132
2004.293151,343.25528
2004.376712,333.84229
2004.460274,323.24454
2004.543836,297.30698
2004.628767,275.38535
2004.712329,244.37932
2004.79589,216.62517
2004.879452,208.73105
2004.963014,199.55374
2005.045205,203.04123
2005.126027,198.86369
2005.206849,196.67728
2005.290411,187.67795
2005.373973,197.16238
2005.457534,193.29044
2005.541096,162.02292
2005.626027,96.1577
2005.709589,60.401157
2005.793151,35.10717
2005.876712,48.774075
2005.960274,79.369949
2006.045205,51.824059
2006.126027,67.94696
2006.206849,71.110069
2006.290411,53.537342
2006.373973,56.725742
2006.457534,43.434391
2006.541096,9.1652908
2006.626027,-38.302395
2006.709589,-59.009502
2006.793151,-38.673679
2006.876712,-71.752426
2006.960274,-77.517471
2007.045205,-58.743256
2007.124658,-42.845608
2007.206849,-36.346817
2007.290411,-21.725348
2007.373973,-15.075925
2007.457534,-25.706446
2007.541096,-89.324989
2007.626027,-135.22997
2007.709589,-153.17628
2007.793151,-154.46216
2007.876712,-156.88528
2007.960274,-138.01202
2008.045205,-115.50014
2008.127397,-108.81576
2008.209589,-89.177193
2008.293151,-103.7877
2008.376712,-100.06237
2008.460274,-104.47166
2008.543836,-146.71098
2008.628767,-187.65913
2008.712329,-220.89105
2008.79589,-209.92892
2008.879452,-202.35379
2008.963014,-169.97849
2009.045205,-152.82094
2009.126027,-151.31145
2009.206849,-161.47733
2009.290411,-170.44577
2009.373973,-142.59805
2009.457534,-142.80321
2009.541096,-167.52182
2009.626027,-236.86549
2009.709589,-271.41397
2009.793151,-250.87767
2009.876712,-241.07121
2009.960274,-210.18901
2010.045205,-220.88673
2010.126027,-214.12073
2010.206849,-201.07755
2010.290411,-197.23869
2010.373973,-201.50183
2010.457534,-227.62611
2010.541096,-298.23526
2010.626027,-349.18674
2010.709589,-378.7381
2010.793151,-360.08011
2010.876712,-372.44208
2010.954795,-381.81851
2011.135616,-376.8602
2011.206849,-380.81027
2011.290411,-375.19553
2011.373973,-368.42679
2011.546575,-427.35101
2011.626027,-449.99277
2011.709589,-476.03336
2011.793151,-492.93835
2011.834247,-509.40485
2011.991781,-498.74927
2012.045205,-469.00287
2012.127397,-446.49301
2012.209589,-449.21622
2012.260274,-445.64008
2012.460274,-457.16949
2012.543836,-508.2193
2012.628767,-603.29803
2012.705479,-653.27887
2012.886301,-667.28296
2012.963014,-611.3205
2013.045205,-600.44617
2013.123288,-588.40289
2013.30411,-582.2276
2013.373973,-556.7663
2013.457534,-563.4751
2013.541096,-606.82819
2013.793151,-662.10596
2013.876712,-666.24139
2013.960274,-665.53406
2014.024658,-651.29266
2014.209589,-632.38232
2014.290411,-590.89948
2014.373973,-586.14954
2014.449315,-596.7276
2014.626027,-686.09589
2014.709589,-718.46539
2014.793151,-698.9519
2014.876712,-705.65887
2015.061644,-698.99878
2015.126027,-678.7796
2015.206849,-670.94861
2015.290411,-658.38983
2015.320548,-651.39563
2015.538356,-702.7149
2015.626027,-705.8302
2015.705479,-733.61462
2015.978082,-711.20831
2016.045205,-686.26086
2016.123288,-705.30933
2016.209589,-699.74286
2016.386301,-676.271
2016.460274,-682.3562
2016.541096,-722.20013
2016.642466,-795.93304
2016.910959,-713.95721
2016.984932,-731.6239
2017.057534,-732.85779
2017.247945,-753.79761
2017.313699,-717.30579
2017.364384,-705.68488
2017.442466,-749.13495
2018.457534,-802.17383
2018.523288,-791.47888
2018.834247,-875.71527
2018.876712,-860.4292
2018.960274,-842.01917
2019.045205,-835.68433
2019.126027,-850.28857
2019.206849,-849.47534
2019.290411,-844.36029
2019.373973,-800.05865
2019.457534,-822.58405
2019.541096,-860.44354
2019.626027,-932.19751
2019.709589,-974.88788
2019.793151,-952.11127
2019.876712,-922.77911
2019.960274,-942.60858
2020.045205,-963.59485
2020.127397,-974.98267
2020.209589,-958.89764
2020.293151,-946.21381
2020.376712,-922.89673
2020.460274,-951.78223
2020.543836,-980.93317
2020.628767,-1019.541
2020.712329,-1048.6746
2020.79589,-1016.5834
2020.879452,-1018.3354
2020.963014,-1015.5273
2021.045205,-1016.1686
2021.126027,-1027.2849
2021.206849,-985.71826
2021.290411,-1000.0338
2021.373973,-1003.0652
2021.457534,-1017.0131
2021.541096,-1043.0836
2021.626027,-1072.2744
2021.709589,-1111.0695
2021.793151,-1128.7809
2021.876712,-1140.5361
2021.960274,-1145.0652
2022.045205,-1128.3097
2022.126027,-1102.203
